Japan,Centimeters,Inches,US,UK,Euro,,,,,,,,,,,,,,,
,Women's Sizes,,,,,,,,,,,,,,,,,,,
21,22.8,9,5,2½,35,,,,,,,,,,,,,,,Apr 24.25
21.5,23.1,9⅛,5½,3,35½,,,,,,,,,,,,,,,Apr 24.25
22,23.5,9¼,6,3½,36,,,,,,,,,,,,,,,
22.5,23.8,9⅜,6½,4,37,,,,,,,,,,,,,,,
23,24.1,9½,7,4½,37½,,,,,,,,,,,,,,,
23.5,24.5,9⅝,7½,5,38,,,,,,,,,,,,,,,
24,24.8,9¾,8,5½,38½,,,,,,,,,,,,,,,
24.5,25.1,9⅞,8½,6,39,,,,,,,,,,,,,,,
25,25.4,10,9,6½,40,,,,,,,,,,,,,,,
25.5,25.7,10⅛,9½,7,41,,,,,,,,,,,,,,,
26,26,10¼,10,7½,42,,,,,,,,,,,,,,,
27,26.7,10½,10½,8,43,,,,,,,,,,,,,,,
28,27.3,10¾,12,9½,44,,,,,,,,,,,,,,,
29,27.9,11,13,10½,45,,,,,,,,,,,,,,,
30,28.6,11¼,14,11½,46½,,,,,,,,,,,,,,,
31,29.2,11½,15½,13,48½,,,,,,,,,,,,,,,
,Men's sizes,,,,,,,,,,,,,,,,,,,
21.5,22.8,9,3½,3,35,,,,,,,,,,,,,,,Apr 24.25
22,23.1,9⅛,4,3½,35½,,,,,,,,,,,,,,,Apr 24.25
22.5,23.5,9¼,4½,4,36,,,,,,,,,,,,,,,
23,23.8,9⅜,5,4½,37,,,,,,,,,,,,,,,
23.5,24.1,9½,5½,5,37½,,,,,,,,,,,,,,,
24,24.5,9⅝,6,5½,38,,,,,,,,,,,,,,,
24.5,24.8,9¾,6½,6,38½,,,,,,,,,,,,,,,
25,25.1,9⅞,7,6½,39,,,,,,,,,,,,,,,
25.5,25.4,10,7½,7,40,,,,,,,,,,,,,,,
26,25.7,10⅛,8,7½,41,,,,,,,,,,,,,,,
26.5,26,10¼,8½,8,42,,,,,,,,,,,,,,,
27,26.3,10⅜,9,8½,43,,,,,,,,,,,,,,,
27.5,26.7,10½,9½,9,43½,,,,,,,,,,,,,,,
28,27,10⅝,10,9½,44,,,,,,,,,,,,,,,
28.5,27.3,10¾,10½,10,44½,,,,,,,,,,,,,,,
29,27.6,10⅞,11,10½,45,,,,,,,,,,,,,,,
29.5,27.9,11,11½,11,45½,,,,,,,,,,,,,,,
30,28.3,11⅛,12,11½,46,,,,,,,,,,,,,,,
30.5,28.6,11¼,12½,12,46½,,,,,,,,,,,,,,,
31,28.9,11⅜,13,12½,47,,,,,,,,,,,,,,,
31.5,29.2,11½,13½,13,47½,,,,,,,,,,,,,,,
